author;comment;;;;;;;;;;;;;;;;
@rasdihassan5796;Di Malaysia ada juga program seumpama ini iaitu Program Latihan Khidmat Negara yg dibuat khusus oleh Kerajaan Malaysia khusus utk remaja2 yg terpilih bukannya utk  remaja nakal.;;;;;;;;;;;;;;;;
@TutiHaryati-h7y;Pokoknya Tiada tanding tiada banting Bpk urang  KDM;;;;;;;;;;;;;;;;
@IbuSis-n2x;Sehat selalu yaaaa KDM, tambah sukses serta barokah ?????????;;;;;;;;;;;;;;;;
@IbuSis-n2x;Sangat membanggakan ?????????;;;;;;;;;;;;;;;;
@tikavenraff9913;Kpai cuma bisa teori tp gk mau praktek.;;;;;;;;;;;;;;;;
"Punya ilmu tp gk di pake ya percuma. Gk ada manfaat nya. Cuma bisa ngmg doank""";;;;;;;;;;;;;;;;;
@ZulKifli-n7p;Teruslah pemimpin ber karakter  DEMI BANGSA DAN NEGARA BER JADILAN MENUJU;;;;;;;;;;;;;;;;
KEMAKMURAN BANGSA. .  ITULAH ;;;;;;;;;;;;;;;;;
"PMIMPIN YANG AMANAH  .....ALLAHU AKBAR.3X""";;;;;;;;;;;;;;;;;
@ZulKifli-n7p;Semoga pembentukan karakter anak-anak bangsa ter arah dan mengerti harga diri mereka.....siapa AKU ..?  utk APA AKU ...? ;;;;;;;;;;;;;;;;
MAU KEMANA AKU  ...? kepentingan bangsa serta mengarah ke depan demi kemajuan bangsa dan Negara;;;;;;;;;;;;;;;;;
Bebas dari keter purukan AKHLAQUL KARIMAH  ..OK TRIMS ;;;;;;;;;;;;;;;;;
"SEMOGA ANAK-ANAK  BANGSA TERBINA KE ARAH YANG BAIK DAN BENAR....OK  ALKAHU AKBAR.3X""";;;;;;;;;;;;;;;;;
@ElSarahASIS;KDM GUBERNUR JAWA BARAT IN THE BEST ??????????????????;;;;;;;;;;;;;;;;
@aidasafitri9107;Mantaaap pak saya sangat setuju program bapak luar biasa.... semoga bapak presiden kita bisa membangun program seperti ini di seluruh Indonesia agar bangsa kita bisa membentuk karakter anak anak yang akhlak mulia.... keren pak Dedy ??????????saluuut;;;;;;;;;;;;;;;;
@abahbasudin4798;pagub kdm sehat slalu????????????????????;;;;;;;;;;;;;;;;
@BaimYaris123;siap;;;;;;;;;;;;;;;;
@BepoChannel;Hanya laki yang masuk barak militer?;;;;;;;;;;;;;;;;
@IyetSutinah;Assalamualaikum pa Dedi .,mohon maaf,mau nanya pa ,,ijasah yg blm lunas ,,apa iya gratis pa...assalamualaikum wr wb;;;;;;;;;;;;;;;;
@ajjosi;"Peringatan keras untuk para elit politikus .anda jngan sok bijak dan sok pintar mengkritik program/kebijakan bapa aink..urus dri sndri ajj GK becus apalagi urus rakyat...warga Jabar nyaman dan terbantu oleh kebijakan"" KDM..@denycagurofficial anda jngan sok pintar ..klw mau nglucu jngan dipanggung rakyat/politik";;;;;;;;;;;;;;;;
@indocyber5465;Jadi keinget program SMA saya dulu masa orientasi siswa selalu di barak puslatpur martapura dan itu cuma sekolahan saya.;;;;;;;;;;;;;;;;
@limastanginas;sehat selalu pakgub;;;;;;;;;;;;;;;;
@alifanurhamidah2114;Hadir  kdm mantap ???????;;;;;;;;;;;;;;;;
@PardiNdut;Siapa yg setuju klu pak dedi cln presiden;;;;;;;;;;;;;;;;
@Gigi_Ghift;Sesuatu yang berbeda dan berdampak baik, di diawal akan menjadi momok yang bnayak ditentang. Tapi stelah lihat hasilnya, akan berubah cara pandangnya... Sedih lihatnya??terimakasih kang dedi;;;;;;;;;;;;;;;;
@roencono6864;Orang tua mana yang tidak menginginkan anak anak nya menjadi pinter dan sukses untuk hidup nya,tapi lingkungan dan pergaulan dan kemalasan memberikan pelajaran lain .anak anak banyak yg teropsesi hidup enak tanpa kerja keras.waktu nya negara harus hadir memperhatikan generasi dari usia dini kalau pingin negri ini tetap eksis dan inginenjadi negara maju.tapi masih banyak mulut mulut nyinyir dan mengkritik serta menyalahkan pemimpin suatu wilayah,padahal dia dia orang tidak berbuat apa apa untuk generasi muda.saya sangat setuju program program kedisiplinan yg di terapkan kepada para pelajar dan mahasiswa sebelum negri ini hancur lebur dan musta tinggal sejarah.kurikulum sekolah hari ini sudah di buat bisnis tidak ada kepastian kayak jaman dahulu negara harus cepat memperhatikan program program di sekolahan dan harus memperhatikan para guru didik yg akan membina para siswa.negara harus tegas memperhatikan generasi muda sebab merekalah yg akan menggantikan kepemimpinan di negri ini di masa depan.;;;;;;;;;;;;;;;;
@muhammadzaki6622;Hadir;;;;;;;;;;;;;;;;
@hermanbudiprasetyo7513;Semoga propinsi lain segera bisa menyusul amin ..;;;;;;;;;;;;;;;;
@bongkengbahtera723;Semoga KDM dan keluarga sehat trus ??;;;;;;;;;;;;;;;;
@ayi0366;Ya allah yarob.sungguh mulianya kdm sehat kanlah yarob mereka.sudah rizkinya di tambah banyak lagi.ya allah yarob betapa bangga jd orang tuanya kg kdm dia mengangkat derajat orang tua.;;;;;;;;;;;;;;;;
@Rzny_Vany;Pak dedi.. Tolong.. Anak saya suka pulang malam.. Yang dari Jawa Timur bolehkah ikut di barak;;;;;;;;;;;;;;;;
@indahdwilestri8350;Diperhatikan bgt gizi nya ?? sehat slalu pak ?;;;;;;;;;;;;;;;;
@sujianto4499;Sukses Bp. program Bp.sangat baik, maju terus, Alloh selalu melindungi Bp. KDM;;;;;;;;;;;;;;;;
@sofiani2610;mudah2an Banten bisa menyusul..miris bulan2 ini di 1 kampung aja ada 3 pasangan  anak SMP dan SMA pada hamil di luar nikah, aborsi sdh jd hal yg lumrah skrg untuk anak2 di bawah usia 17 thn??;;;;;;;;;;;;;;;;
@EminBudiman;Iya betul begituh untuk generasimuda yang akan datang, karena masa tua orang TNIakan pensiun kembali ke masarakat biasalagih, saya setuju usulan pak t n i .;;;;;;;;;;;;;;;;
@EminBudiman;Aing macan indonesia ngemban sejarah baheula lain jaman ayeuna Dorna wungkul, hayu geura usik lawan kadoliman, inget bapa aing keur ngemban tugas anubener,.;;;;;;;;;;;;;;;;
@EminBudiman;Sakudunamah tiap tiap kodim diayakeun barak militer, supaya barudak sakolana teu baradung, teu ngabingungkeun KA indung,;;;;;;;;;;;;;;;;
@EminBudiman;Titip bapa aing tongdisia siakeun, programna bagus Alus euy programna  barak militer conto pamarentah indonesia,;;;;;;;;;;;;;;;;
@amirudin-mt9rg;Iri sama masyarakat Jabar..punya gubernur yg sangat2 kerja nyata;;;;;;;;;;;;;;;;
@kenzxy77;Pak saya umur 22 pengen ikut barak militer karna susah buat pola hidup sehat pakkk, bayar juga ikhlas pak kalo program nya kek gini, joss pokoknya bapak dedy ini meskipun saya dari jatim tapi salut sama program kang dedi ini, sehat selalu kang dedi beserta warganya?;;;;;;;;;;;;;;;;
@DwiPrionodpmdecoration;Kalau ga setuju di didik di barak TNI taruh di barak POLRI;;;;;;;;;;;;;;;;
@amorrairae486;Susu nya yg putih yg tawar pak jngn yg manis2 gitu;;;;;;;;;;;;;;;;
@Alyssa_71;Program yang sangat bagus, warga JaBar pasti support;;;;;;;;;;;;;;;;
@Nurusalammubarokah;Love kang dedy;;;;;;;;;;;;;;;;
@SandriFajar-r3i;Saya setuju, kalo anak remaja masuk barak, kenapa? Soal nya anak SMP, sma dll mengikuti anak remaja good bapa aing ????????;;;;;;;;;;;;;;;;
@ngopi_017;Sehat slalu pak KDM?????;;;;;;;;;;;;;;;;
@FajarWibowo-q5f;Gubernur kobten paling top,keren kang KDM LANJUTKAN;;;;;;;;;;;;;;;;
@APKTLOAJD;"Nanti pas sudah besar Anak Anak itu kirim orang tuanya ke PANTI JOMPO.   "" Kalau gak punya cinta jangan bikin anak """;;;;;;;;;;;;;;;;
@NictaGina;Di kuningan jawa barat nih pak,  saya mau lapor ada beberapa anak dan bpk yg mau di masukkan ke barak militer;;;;;;;;;;;;;;;;
@NictaGina;Ya Allah, perbanyak lagi Pemimpin di negeri ini seperti pak Dedi mulyadi?;;;;;;;;;;;;;;;;
@rahmahutapea9476;Hadir dari Aceh bangga banget sama bapak Dedi Mulyadi ??;;;;;;;;;;;;;;;;
@ridwanawaludin6247;Semangat terus untuk para siswa, ini program yg baik bagi generasi selanjutnya. Terima kasih BAPAK AING;;;;;;;;;;;;;;;;
@rubby911_;pak adek saya Irvan busar mau masuk barak pak;;;;;;;;;;;;;;;;
@DapurnilangChanel;Keren BPK mantap;;;;;;;;;;;;;;;;
@NovalMReyhan;Maju terus kang Dedi .kamu seorang pemimpin yang yg sangat dibanggakan oleh rakyat .;;;;;;;;;;;;;;;;
@ratnajuwita8939;3:54 Bpk A'ing titip anak anak saya. ;;;;;;;;;;;;;;;;
"Tiap bulan anak anak nagih seperti petugas pinjol""";;;;;;;;;;;;;;;;;
@baimdoutangga911;Mantap kang gub;;;;;;;;;;;;;;;;
@UcupAndre-k7p;Luar biasa????;;;;;;;;;;;;;;;;
@Merah.Putih.;Luar biasa alhdllh bisa jadi contoh buat daerah2 lain,program bgini yg benar2 pejabat gubenurnya sayang anak2 bangsa disiplin ,smangat dannyg paling penting bisa menyayangi dan patuh pd org tua mantap kang deddy programnya kreen ??????;;;;;;;;;;;;;;;;
@ronalando8447;Pak cuma saran utk menanggulangi anak2 sering tauran atau berkeliaran mlm untuk ditertibkan sebuah area harus diubah lg sistem kinerja pemerintahan daerah selama ini kurang nya kerja sama antara pol PP dishub polisi TNI dan jajaran laennya jg....dan masyarakat setempat jg  harus saling membantu..... Coba pak mereka diajak kerja sama  semua buat mereka jg 3 shift kerja mereka secara bergantian  dan diaktifkan terus untk pemantauan area pengamanan secara merata dr pagi sore hingga mlm mudah2 semua bisa dikondufsifkan;;;;;;;;;;;;;;;;
@TriMardianto-u7m;Mantap Bpk KDM ?;;;;;;;;;;;;;;;;
@HusnaenySaaba;ICH ? DICH KDM;;;;;;;;;;;;;;;;
@honeydlyn4550;Tolong jompo2 juga diperhatikan karena mereka pun ingin gembira di masa tua nya. KDM TOP  ??;;;;;;;;;;;;;;;;
